番号,単　語,品詞,意　味,用　例,チェック
407,differently,副,（～と）異なって,People from different countries speak English differently.,
408,difficult,形,難しい、困難な,"At first, learning English was difficult for me.  Now I love it.",
409,difficulty,名,難しさ、困難、苦労,They faced many difficulties.,
410,dining room,名,食堂、ダイニングルーム,We eat dinner in the dining room together. ,
411,dinner,名,ディナー、夕食,This is a wonderful dinner.,
412,disagree,動,意見が合わない、賛成しない,I disagree with you.,
413,disappear,動,見えなくなる、消えうせる,Many kinds of plants and animals disappeared from the earth.,
414,disappointed,形,がっかりした,I was disappointed to hear the news.,
415,disaster,名,災害,It is necessary for us to prepare for disasters.,
416,discount,名,割引,Could you give me a discount?  ,
417,discover,動,見つける、見いだす,He discovered electricity.,
418,disease,名,病気,The disease was very serious at that time.,
419,dish,名,皿,Please wash the dishes after dinner.,
420,distance,名,距離、遠い場所、遠方,What is the distance from here to the station?  ,
421,do,動・助,"①（動）～する、行う、行動する　　  【活用】 do - did - done
②（助）（疑問文で）（～は～）しますか　
③（助）（否定文で）（～は～しない）
④（助）（否定の命令文で）（～は～）するな","①What did you do during the spring vacation?
②Do you speak Japanese?
③I don't speak Japanese.
④Don't speak Japanese in this class. ",
422,doctor,名,医師、博士,She is a doctor.,
423,does,動・助,主語が３人称単数形の時のdoの現在形,Does your sister live with you?,
424,dog,名,イヌ,A dog was walking along the river.,
425,doll,名,人形,My father gave me this doll when I was a small child.,
426,dollar,名,ドル（アメリカ・オーストラリア・カナダなどの通貨単位）,It's five dollars.,
427,dolphin,名,イルカ,They often watch the dolphins from boats.,
428,door,名,ドア,Please open the door.,
429,dot,名,点,I like ties with colorful dots.,
430,down,前・副,下へ（に）、（道などに）沿って,Go down the street and turn right.,
431,Dr.,名,（医者や博士の名の前につけて）～先生、～博士,Dr. Yamanaka is a famous scientist all around the world.  ,
432,drama,名,（テレビの）ドラマ、劇,I like to watch dramas on TV.,
433,draw,動,（線を）引く、（絵を）かく　　　　【活用】 draw - drew - drawn,My hobby is drawing pictures.,
434,dream,動・名,夢（を見る）,His dream was to become a professional baseball player.,
435,dress,名,衣装、ドレス,I want to buy that beautiful dress.,
436,dressed,形,服を着た　　　　  ※get dressed  服を着る,I get dressed before breakfast every day.,
437,dried,形,乾燥した,Dried fruit and chocolate are mixed in these cakes.,
438,drill,名,訓練,Our school has a fire drill once a year.,
439,drink,動・名,"①（動）飲む　　【活用】 drink - drank - drunk   
②（名）飲み物","①What would you like to drink?
②What is your favorite drink?",
440,drive,動,（車を）運転する、ドライブする,You have to drive on the left in Japan.,
441,driver,名,（車を）運転する人、運転手,I'm a taxi driver.  ,
442,drop,動・名,"①（動）落とす、落ちる
②（名）しずく","①Tears dropped from my eyes.
②Put a few drops of lemon juice into the glass.",
443,drugstore,名,ドラッグストア、薬局,"On the corner, there is a drugstore.",
444,drum,名,太鼓、ドラム,The boy plays the drum every day.,
445,dry,動・形,（動）乾かす、（形）乾いた,I'm drying my hair.,
446,duck,名,カモ、アヒル,There are many ducks in this park.,
447,during,前,～の間（のいつか）,What did you do during the spring vacation?,
448,DVD,名,digital video discの略,Let's watch the DVD.,
449,dying,形,瀕死の状態の、死にかかっている,The man was dying.,
450,each,代・形,それぞれ（の）、各（の）～　　※each other  お互いに,Each story has two or more characters.,
451,ear,名,耳,Elephants have big ears.,
452,early,形・副,（時間的に）早い、早く,It is good to get up early every day.,
453,earth,名,地球,The earth's environment is changing very fast.,
454,earthquake,名,地震,There was a big earthquake in Kobe in 1995.,
455,easily,副,簡単に、容易に,You can get information easily through the Internet.,
456,east,名・形・副,東（の、へ）、東方,The sun rises in the east.,
457,easy,形,やさしい、簡単な,It is easy to read this book.,
458,eat,動,食べる、食事をする　※eat out 外食する　【活用】 eat - ate - eaten,We eat lunch in the cafeteria.,
459,economy,名,経済,I want to work for the government to improve our economy.,
460,education,名,教育,What are the good points about Japanese education?,
461,effect,名,影響,The accident had a big effect on him.,
462,effort,名,努力,We made a big effort to win the game.,
463,egg,名,卵,I had ham and eggs this morning.,
464,eight,名・形,８（の）,It's eight o'clock.  ,
465,eighteen,名・形,１８（の）,It's just eighteen dollars.  ,
466,eighteenth,名・形,１８番目（の）,The room is on the eighteenth floor.,
467,eighth,名・形,８番目（の）,I am in the eighth grade.,
468,eighty,名・形,８０（の）,I have eighty CDs.,
469,either,接・副,"①どちらか　　　　※either A or B   AかBかどちから
②（否定）～もまた～ない　","①Either you or he must go.
②I couldn't speak English either. ",
470,elderly,形,年配の,The number of elderly people is increasing in Japan.,
471,electricity,名,電気,It is difficult to live without electricity.,
472,elementary school,名,小学校,I am an elementary school student.,
473,elephant,名,ゾウ,The largest animal living on land is the elephant.,
474,elevator,名,エレベーター,We have four elevators in our building.,
475,eleven,名・形,１１（の）,I go to bed at about eleven o'clock.,
476,eleventh,名・形,１１番目（の）,I am in the eleventh grade.,
477,else,形・副,他に（の）、その他（の）　　　※anything else　他に何か,Do you need anything else?,
478,e(-)mail,名,電子メール、Eメール,Thank you for your kind e-mail.,
479,embarrassed,形,恥ずかしい、気まずい,The mistake made me embarrassed.,
480,emergency,名,緊急事態、非常時,Do you know what to do in an emergency?,
481,empty,形,空の,Your cup is empty. Would you like more tea?,
482,encourage,動,勇気づける、励ます,I was encouraged by my classmates.,
483,end,動・名,"①（動）終わる、終える　
②（名）最後、端　　※in the end 　最後に（は）","①When does this class end?
②This is the end of my story.",
484,energy,名,エネルギー,We use a lot of energy every day.,
485,engineer,名,技師、エンジニア,He's an engineer at a computer company.,
486,England,名,イングランド（主にグレートブリテン島の南部地域）,She's from England. ,
487,English,名・形,英語（の）、イギリスの、イギリス人（の）,Learning English is interesting.,
488,enjoy,動,楽しむ、～は楽しい（と思う）,People enjoyed talking with them.,
489,enough,形,十分な、ちょうどいい数（量）の,I don't have enough money to buy a computer.,
490,enter,動,（学校などに）入る,I will enter high school next spring.,
491,entrance,名,入り口、玄関,This is the entrance of this building.,
492,environment,名,環境,We have to work together to save the environment.,
493,erase ,動,～を消す,We have to erase the blackboard.,
494,eraser,名,消しゴム,Whose eraser is this?,
495,escape,動,逃げる　　,My cat sometimes escapes from my house.,
496,especially,副,特に,"I like Japanese food, especially sushi.",
497,Europe,名,ヨーロッパ,Manga and anime are popular in Europe.,
498,even,副,～でさえ、～でも,He gets up early even on holidays.,
499,evening,名,夕方、晩,"In the evening, I watched a soccer game on TV.",
500,event,名,（重要な）出来事、事件、行事,I enjoyed many school events. ,
501,ever,副,（疑問文・否定文で）今までに、かつて,Have you ever seen a traditional Japanese festival?,
502,every,形,すべての、毎～　　　,"Every year, many foreigners visit Hyogo.",
503,everybody,代,みんな,"Everybody knows the story of ""Momotaro"".",
504,everyone,代,みんな,Everyone in my host family is kind to me.,
505,everything,代,すべてのこと（もの）,Everything is OK.,
506,everywhere,副,いたるところ、どこでも,"In Japan, you can see sushi restaurants everywhere.",
507,exam,名,試験（examinationを短くした形）,We are going to have an exam next week.,
508,example,名,例、実例　　※for example  例えば,Let's look at two examples.,
509,excellent,形,非常に優れた、優秀な,Your report is excellent.,
510,exchange,名,交換,Our city has a student exchange program with Korea.,
511,excited,形,興奮した,You look really excited!,
512,exciting,形,興奮させる、わくわくするような,The soccer game we watched last night was very exciting.,
513,excuse,動,許す   ※Excuse me. 失礼します、すみません,Excuse me.,
514,exercise,名,運動、練習問題　　※do some exercise  運動する,We do some exercises in PE class.,
515,expensive,形,（値段が）高い,The pen I lost was very expensive.,
516,experience,動・名,経験（する）、体験（する）,It'll be a wonderful experience.,
517,expert,名,専門家、エキスパート,This report was written by experts around the world.,
518,explain,動,説明する,It's difficult for me to explain sumo.,
519,express,動・名,"①（動）表現する、言い表す
②（名）急行、速達","①It is difficult to express our feelings.
②I will take the 9 a.m. express to Tokyo.",
520,expression,名,表現,You will learn some expressions for shopping today.,
521,eye,名,目,Please close your eyes.,
522,face,動・名,"①（名）顔、表情
②（動）（危険・困難などに）立ち向かう、直面する","①The light showed his face.
②We are facing a new problem.",
523,fact,名,事実、現実　　※in fact　実は,"In fact, I left my textbook at home.",
524,factory,名,工場,My mother works at a computer factory.,
525,fair,形,公平な,You ate all the cakes!  It's not fair.,
526,fall,動・名,"①（動）落ちる　　   【活用】 fall - fell - fallen　　　　　　　　　　　　　　
②（名）秋、滝","①Alice fell into the hole.
②It's spring in Japan now, but it's fall in New Zealand.",
527,family,名,家族,She went to Thailand on holiday with her family.,
528,famous,形,有名な　　※be famous for ～　～で有名な,My town is famous for its delicious grapes.,
529,fan,名,"①（スポーツなどの）ファン　
②扇","①I'm a big fan of the Hanshin Tigers.
②This is a traditional Japanese fan.",
530,far,形・副,（距離が）遠くに、遠く（い）,How far is the nearest station from here?,
531,farewell,名,別れ,Can you come to the farewell party?,
532,farm,名,農場,My grandfather was working at the farm.,
533,farmer,名,農場主、農業をする人,My grandfather is a farmer.,
534,fashion,名,流行、はやり,That design is this year's fashion.,
535,fast,形・副,（速度が）速く（い）,The animal can run fast.,
536,father,名,父、父親,This is my father.,
537,favorite,名・形,お気に入りの（もの）、大好きな（もの）,Music is one of my favorite things.,
538,February,名,２月,We have a traditional event called “Setsubun” every year on February 3rd or 4th.,
539,fee,名,料金、入場料,How much is the entrance fee?,
540,feed,動,えさをやる、食物を与える,I have to feed the cat today because my parents aren't home.,
541,feel,動,（体や心に）感じる、気分が～である  　【活用】 feel - felt - felt,I feel happy.,
542,feeling,名,感情、気持ち,We can share our ideas and feelings in any language.,
543,festival,名,お祭り、祭日、～祭、祭典,There are many festivals in autumn to celebrate the harvest.,
544,fever,名,（病気の）熱,I have a fever.,
545,few,形,※a few ～　数の～、少しの～　　,The movie began just a few minutes ago.,
546,fiction,名,小説、フィクション,It's a science fiction story.,
547,field,名,野原、畑、牧草地,The dog is running on the field.,
548,fifteen,名・形,１５（の）,I am fifteen years old.  ,
549,fifteenth,名・形,１５番目（の）,The room is on the fifteenth floor.,
550,fifth,名・形,５番目（の）,My sister is in the fifth grade.  ,
551,fifty,名・形,５０（の）,"Fifty years ago, the number of cars was much smaller.",
552,fight,動,戦う,Let's fight for our right.,
553,fill,動,いっぱいにする、いっぱいになる,We filled the glass with water.,
554,final,形,最後の、最終の,I met my wife in the final year of high school.,
555,finally,副,最後に、ついに,Finally his dream came true.,
556,find,動,見つける、見いだす　  【活用】 find - found - found   ,I found the watch I lost yesterday.,
557,fine,形,元気な、調子の良い,"I'm fine, thank you.",
558,finger,名,手の指,You have to use your fingers to play the guitar.,
559,finish,動,終わらせる、終わる,She has already finished her homework.,
560,fire,名,火,The fire is burning the trees.,
561,firework,名,花火,I like Bon-odori and fireworks festivals.,
562,first,名・形・副,"１番目（の）、第１に、最初に　　
※at first  最初は　　for the first time　初めて",This is the first camera I bought.,
563,fish,動・名,（動）魚つりをする　　（名）魚　　※go fishing 　釣りに行く,You can eat fresh fish in Awaji Island.,
564,fishing,名,つり,I went fishing with my father yesterday.,
565,fit,動,（サイズ・形が）合う,This shirt fits me very well.,
566,fitting room,名,試着室,A: May I try it on?  B: Sure.  The fitting room is over there.,
567,five,名・形,５（の）,I have five pencils.,
568,flag,名,旗,The picture shows the flag of her country.,
569,flight,名,飛行、（飛行機の）便,We hope you will enjoy this flight.,
570,floor,名,床、階,The shop is on the second floor.,
571,flour,名,小麦粉,Mix the flour and sugar.,
572,florist,名,花屋（の主人）,"When I was a little girl, I wanted to be a florist.",
573,flower,名,花,You can see a lot of flowers in Awaji Island.,
574,fluently,副,流ちょうに,Our teacher speaks English fluently.,
575,fly,動,飛ぶ、（飛行機で）行く（旅行する）　  【活用】 fly - flew - flown,The toy plane flew as high as a bird.,
576,follow,動,（～に）ついて行く、（～に）従う,You have to follow the family's rules.,
577,food,名,食べもの,Do you have any famous local foods in your town?,
578,foot,名,足（足首から下の部分）　【複数】 feet,He hurt his left foot when he fell.,
579,football,名,アメリカンフットボール、サッカー,I watched football on TV last night.,
580,for,前,"①～のために（の）　
②～にとって　
③～を得るために　
④～の理由で　
⑤～の間","①I'll get some food for you. 
②The test was easy for me.
③People sometimes fight for food.
④My uncle gave me a watch for my birthday.
⑤I've lived here for two years.",
581,foreign,形,外国の,I want to go to a foreign country.,
582,foreigner,名,外国人,He tried to talk to foreigners in English.,
583,forest,名,森,You can see many kinds of birds in this forest.,
584,forever,副,永久に、絶えず,Good friends stay in our minds forever.,
585,forget,動,忘れる　　【活用】 forget - forgot - forgot/forgotten,I'll never forget this trip.,
586,forty,名・形,４０（の）,There are forty students in my class. ,
587,forward,副,前へ　　　※look forward to ～　～を楽しみに待つ,I am looking forward to seeing you again.,
588,four,名・形,４（の）,I have four onions and two carrots.,
589,fourteen,名・形,１４（の）,I will be fourteen next month.,
590,fourteenth,名・形,１４番目の,The room is on the fourteenth floor.,
591,fourth,名・形,４番目（の）,My sister is in the fourth grade.,
592,fox,名,キツネ,Foxes appear in some old stories.,
593,France,名,フランス,I lived in France ten years ago.,
594,free,形,"①自由な　　※be free to ～　自由に～することができる
②ひまな　
③無料の　　","①You are free to come and go anytime.
②Are you free on Saturday night? 
③You can enjoy free food and drinks.",
595,freedom,名,自由,I tried to show the feeling of freedom with pictures.,
596,freely,副,自由に,They couldn't go to school freely in those days.,
597,French,名・形,フランスの、フランス人（の）、フランス語（の）,My sister is studying French now.,
598,French fries,名,フライドポテト,I like French fries very much.,
599,fresh,形,新鮮な,All the vegetables looked very fresh.,
600,Friday,名,金曜日,I come to school from Monday to Friday.,
601,fridge,名,冷蔵庫（refrigeratorの略）,We need a bigger fridge to keep more food.,
602,friend,名,友人、友達　　※make friends with～　～と友達になる,The boy is talking with his friends.,
603,friendly,形,友好的な、人なつっこい,She is kind and friendly.,
604,friendship,名,友情、親交,Hyogo and Western Australia have a special friendship.,
605,frog,名,カエル,I found two frogs by the window.,
606,from,前,"①～から　      ※from ～ to･･･ ～から･･･まで
②～出身で　  ","①I took the train from Himeji.
②I'm from Japan. ",
607,front,名・形,前（の）、前部（の）　　※in front of ～　～の前に（の）,Let's meet in front of the station at 1:30.,
608,fruit,名,果物、フルーツ,What kind of fruit do you like?,
609,frustrated,形,フラストレーションを感じて、ストレスのたまった,I sometimes get frustrated when I speak English.,
610,full,形,満ちた、いっぱいの     ※be full of～　～で一杯の,I've eaten so much.  I’m full.,
611,fun,名・形,おもしろい（こと）、楽しさ　　※have fun　楽しむ,I had a lot of fun with you.,
612,funny,形,おもしろい,The movie is funny.,
613,furniture,名,家具,This is my favorite furniture.,
614,future,名・形,未来（の）、将来（の）　　　※in the future 　将来（は）,We should think of our future.,
615,game,名,試合、（gamesで）競技大会、ゲーム,I watched a soccer game on TV last night. ,
616,garbage,名,生ごみ、くず,We should try to reduce garbage.,
617,garden,名,畑、庭,This is our class's vegetable garden.,
618,gas,名,（燃料用の）ガス,Now we can't live without electricity or gas.,
619,gate,名,門,You can enter the building through the front gate.,
620,gather,動,集まる、集める,We gather around a kotatsu in winter.,
621,gentle,形,思いやりのある,This is my grandfather.  He is gentle.,
622,gentleman,名,紳士、男性     【複数】 gentlemen,"Ladies and gentlemen, welcome to Hyogo.",
623,German,名・形,ドイツの、ドイツ人（の）、ドイツ語（の）,German is the language used in Germany.,
624,Germany,名,ドイツ,I came to Japan from Germany last month.,
625,gesture,名,身ぶり、ジェスチャー,I learned the Japanese gesture for “Come here”.,
626,get,動,"①手に入れる  
②（～に）なる　　
※get back 戻る、取り返す　　get off　降りる 　　 get on 乗る  get to～　～に着く   get up 起きる 　　get well よくなる　　　　
【活用】 get - got - got","①I want to get something to drink.
②It is getting warmer and warmer.  ",
627,gift,名,贈り物,This is a gift for you.,
628,girl,名,女の子、少女,The girl plays the piano every day.,
629,give,動,"与える、あげる　　　　※give up　あきらめる　　
【活用】 give - gave - given     ",Please give me some water. ,
630,glad,形,（人が）うれしい、喜んで　　※be glad to ～　～してうれしい,I'm glad you like it. ,
631,glass,名,（ガラスの）コップ,Can I have a glass of water? ,
632,glasses,名,眼鏡,I bought new glasses yesterday.,
633,global,形,地球の、地球規模の　※global warming  地球温暖化,We should talk about global problems.,
634,global warming,名,地球温暖化,I studied about global warming. ,
635,glove,名,手袋,I wear a coat and gloves in winter.,
636,go,動,"行く　　※be going to do  ～しようとしている、～するつもりである　
go into～　～に入って行く　      【活用】 go - went - gone",I went to Sannomiya on Sunday.,
637,goal,名,目標、（サッカーなどの）ゴール,My goal is to be a great baseball player.,
638,God,名,神,Your voice is a gift from God.,
639,gold,名・形,金（の）,They found much gold in Africa.,
640,golf,名,ゴルフ,My father likes playing golf.,
641,good,形,"よい、上手な　   ※　be good at ～　～が得意  
【活用】 good - better - best",She is a good table tennis player. ,
642,goodbye,名・間,さようなら,"Goodbye, Mary.",
643,goods,名,商品、品物,My American friend bought many Japanese goods in Kyoto.,
644,government,名,政府,The Japanese government created a new program.,
645,grade,名,学年,Now I am in the ninth grade. ,
646,graduate,動,卒業する,We graduated from elementary school two years ago.,
647,gram,名,グラム,The price of gold is about five thousand yen for one gram.,
648,granddaughter,名,孫娘、女の孫,She visited her granddaughter last week.,
649,grandfather,名,祖父、おじいさん,My grandfather lives in Sasayama.,
650,grandmother,名,祖母、おばあさん,I live with my grandmother.,
651,grandson,名,孫息子、男の孫,She has two grandsons.,
652,grape,名,ブドウ,Wine is made from grapes.,
653,graph,名,グラフ,Look at the graph on the right.,
654,gray,名・形,灰色（の）,My grandfather has gray hair.,
655,great,形,すてきな、すばらしい,The event was great.,
656,greatly,副,大いに,The world has already changed greatly!,
657,green,名・形,緑（の）,How about this green cap?,
658,greet,動,あいさつをする,I try to greet everyone I meet.,
659,greeting,名,あいさつ,It is important to start the day by greeting people.,
660,ground,名,地面、地上、運動場,They found a huge hole in the ground.,
661,group,名,グループ、集団,ARASHI is my favorite group.,
662,grow,動,"成長する、～を栽培する　　
※grow up 成長する　　【活用】 grow - grew - grown　　",We grow special rice for Japanese sake in Hyogo.,
663,guess,動,推測する　※Guess what!　何だと思う,Can you guess what it is?,
664,guest,名,客、ゲスト,They are guests from America.,
665,guide,動・名,（動）案内する、導く　　（名）案内人、ガイド　　　,The guide told us the history of the castle.,
666,guidebook,名,ガイドブック、案内書,The guidebook says the building is over 120 years old.,
667,guitar,名,ギター,I have played the guitar since I was eight.,
668,gym,名,体育館、ジム（gymnasium の略）,"Now, she’s in the gym.",
669,habit,名,習慣、くせ,Eating between meals is a bad habit.,
670,hair,名,髪の毛,Do you know that woman with short hair?,
671,half,名・形,半分（の）,A half of the students in my class come to school by bike.,
672,hall,名,ホール、会館       ※city hall 市役所,We went to the Akashi City Hall last week.,
673,Halloween,名,ハロウィーン,Children like Halloween very much.,
674,ham,名,ハム,I usually eat ham and eggs for breakfast.,
675,hamburger,名,ハンバーガー、ハンバーグステーキ,Can I have a hamburger and a coffee?,
676,hand,名,手（手首から先の部分）   ※shake hands 握手をする,"If you have questions, please raise your hand.",
677,handmade,形,手づくりの,I like handmade toys.,
678,handout,名,配布印刷物、ビラ、（教室などで配る）プリント,I'll give you a handout.,
679,hang,動,つるす,We hang some pictures on the wall of our classroom.,
680,happen,動,起こる、生じる,What happened?,
681,happiness,名,幸福,I want to share this happiness with other people.,
682,happy,形,幸せな、うれしい,"We were tired, but very happy.",
683,hard,形・副,"①（形）難しい、困難な　　
②（副）いっしょうけんめいに、熱心に","①It is hard for me to understand your idea.
②My father works very hard.",
684,harvest,名,収穫,There was a large harvest of apples last year.,
685,has ,動・助,"主語が３人称単数形のときのhaveの現在形 　 
※has to～　～しなければならない　　　【活用】 has - had - had",She has two sisters.,
686,hat,名,（ふちのある）帽子,He always wears that big hat.,
687,hate,動,～するのが嫌いだ、～したくはない,I hate to lose games.,
688,have,動・助,"①（動）持っている、所有している　
②（動）食べる、飲む
※have to～　しなければならない　　【活用】 have - had - had　　
〔have+過去分詞で〕
③（助）（今まで）～すっとしている
④（助）（今までに）～したことがある　
⑤（助）～したところである、もう～した","①I don't have a bike. 
②I have breakfast everyday.
③I have lived in Sanda for 15 years.
④I have been to China.
⑤I have just finished my homework.",
689,Hawaii,名,ハワイ,She is going to Hawaii next summer.,
690,he,代,彼は、彼が,He is a dentist.,
691,head,名,頭（首から上の部分）,This cap is too small for my head.,
692,headache,名,頭痛,I have a headache. ,
693,health,名,健康、健康状態,Health is the most important thing to me.,
694,healthy,形,健康によい,Many people say that Japanese food is healthy.,
695,hear,動,聞こえる、聞く    【活用】 hear - heard - heard,I'm glad to hear that. ,
696,heart,名,心、気持ち、心臓,My mother has a good heart.,
697,heat,動・名,熱（する）,Let's wait for a while until the heat goes down.,
698,heater,名,暖房器具,"TVs, computers and heaters use electricity.",
699,heaven,名,天国,People in Kobe want to send beautiful lights to people in heaven.,
700,heavy,形,重い,My bag is as heavy as yours.,
701,hello,間,やあ、こんにちは,Hello.  This is Habatan.,
702,help,動・名,"（動）手伝う、助ける　　　
※help yourself to～　　～を自分で取って食べる（飲む）
（名）手伝い、手助け",We should always help people.,
703,helpful,形,役に立つ、助けになる,My friends are always helpful to me.,
704,her,代,彼女の、彼女を,Why do you like her? ,
705,here,副・名,"ここ（に、で、へ）　※Here is (are)～.　ここに～があります
Here you are. はい、どうぞ　　
For here or to go?  ここで食べますか、それともお持ち帰りですか",Let's play soccer here.,
706,hero,名,ヒーロー、英雄,He became a hero when he won the Olympics.,
707,hers,代,彼女のもの,This book is hers.,
708,herself,代,彼女自身を（に）      ※by herself 彼女自身で,She made a decision by herself.,
709,hey,間,ねえ、おや、やあ,"Hey, Bob.",
710,hi,間,こんにちは、やあ《helloよりもくだけた言い方》,"Hi, David.  I'm Yuka.",
711,high,形,（高さ、値段、程度などが）高い,Mt. Fuji is the highest mountain in Japan.,
712,high school,名,高校,I'm a high school student from Hyogo.,
713,hiking,名,ハイキング,I went hiking with my family last week.,
714,hill,名,丘,He is standing on top of the hill.,
715,him,代,彼を、彼に,"Will you give him a message, please?",
716,himself,代,彼自身を（に）　　　　※ by himself  彼自身で,He is traveling by himself.,
717,his,代,彼の、彼のもの,This is his team.  They are strong. ,
718,history,名,歴史,What do you know about the history of the earth?,
719,hit,動,打つ、当たる    【活用】 hit - hit - hit,Soon the tsunami will hit the beach.,
720,hobby,名,趣味、道楽,What is your hobby?,
721,hold,動,"持つ、握る、抱く  　※hold on （電話を）切らずに待つ　
 【活用】 hold - held - held",I can't hold this box.  It's too heavy.,
722,hole,名,穴,She fell into a big hole. ,
723,holiday,名,祝日、祭日、休日,The day is a national holiday.,
724,home,副・名,"①（名）家、家庭　　　※at home 家で（に）
②（副）うちへ（に）、故郷へ（に）     ※come(go) home 家に帰る","①I want to stay at home tonight.
②He's not home yet.",
725,home economics,名,家庭科,I study home economics on Friday.,
726,homesick,形,家を恋しがる、故郷を慕う、ホームシックの,I was homesick because I could not communicate well.,
727,homestay,名,ホームステイ、家庭滞在      ※do homestay 　ホームステイする,I really like doing homestays.,
728,hometown,名,生まれ育った町（市）,Himeji is my hometown.,
729,homework,名,宿題　　　　※do one's homework  宿題をする,I have to do my homework.,
730,honest,形,正直な,It's important for me to be honest with myself.,
731,honey,名,はちみつ,Some people put honey on bread.,
732,hope,動・名,希望（する）、望む,I hope you'll enjoy the party.,
733,hopeless,形,絶望した,He felt hopeless about his job.,
734,horse,名,ウマ,Horses have worked for people in many ways.,
735,hospital,名,病院,My mother works at this hospital.,
736,host,名,主催者、（客をもてなす）主人,You can learn about local food from your host student.,
737,host family,名,ホストファミリー,I will not forget my host family.,
738,hot,形,熱い、暑い,It's hot today.,
739,hot spring,名,温泉,Arima onsen is the oldest hot spring in Japan.,
740,hotel,名,ホテル,I’m not going to stay at a hotel.,
741,hour,名,１時間、６０分,Rest here for an hour.,
742,house,名,家、住宅,Today I went to Kumi's house.,
743,housework,名,家事,My father does some housework every day.,
744,how,副,"①（程度）どれぐらい
②（健康・天候・状態）どんな具合で、いかがで
③（方法・手段）どうやって、どんな方法で
※How about～? ～はどうですか　How far～? （距離が）どれくらい遠いですか  How long～?（期間が）どれくらい～ですか  How much～?（金額が）どれくらい～ですか  How many～?（数が）どれくらい～ですか  How often～?（頻度が）どれくらい～ですか  How old～? 何歳ですか  how to ～　～の仕方","①How far is the park from here?
②How are you?
③How can we go to Hanshin Koshien Stadium? ",
745,however,接・副,しかしながら、だが,"He agreed with my plan, however, he changed his mind later.",
746,human,名・形,人間（の）,Humans use languages to communicate.,
747,humor,名,おかしさ、ユーモア,I want to share Japanese humor with people all over the world.,
748,hundred,名・形,１００（の）　　　※hundreds of ～　　 何百という～,I got one hundred score on the test.,
749,hungry,形,空腹の、飢えた,I'm hungry.  Let's eat curry and rice at that shop. ,
750,hunting,名,狩り,Hunting was very important for our life a long time ago.,
751,hurry,動,急ぐ、急いで行く,We hurried to the station because it started to rain.,
752,hurt,動,傷づける　【活用】 hurt - hurt - hurt,Many people were hurt by that accident.,
753,husband,名,夫,My husband is at work now.,
754,I,代,私は、私が（文の主語に使う）,I like English very much.,
755,ice,名,氷,I put some ice into my glass.,
756,ice cream,名,アイスクリーム,The child ate two ice creams.,
757,idea,名,考え、アイデア,I have an idea.,
758,if,接,もし（～する）ならば,"If it rains, we'll play table tennis.",
759,ill ,形,病気の,"When she was a baby, she became very ill.",
760,image,名,像、画像、イメージ,Images from manga have influenced his designs.,
761,imagine,動,想像する,It's difficult for me to imagine a big earthquake.,
762,impact,名,衝撃,That picture had a big impact on people. ,
763,importance,名,重要性、大切さ,We realized the importance of team spirit.,
764,important,形,重要な、重大な,It's important for us to think about peace. ,
765,impossible,形,不可能な,It's impossible for me to speak three languages.,
766,improve,動,よりよくする、改良する,How can I improve my English?,
767,in,前,"①（場所）～（の中）に（で、の）　
②（期間）～（のうち）に
③（範囲・対象）～の点で","①He lives in America. 
②I cleaned my room in the morning. 
③I'm interested in Japanese kimonos.　",
768,including,前,～を含めて,Five people including me visited the museum.,
769,increase,動,増える、増加する,The number of visitors to Himeji Castle has increased.,
770,India,名,インド,Several languages are spoken in India.,
771,Indian,名・形,インドの、インド人（の）,I like Indian food very much. ,
772,industry,名,工業,About 40% of Japanese energy is used in industry.,
773,influence,動・名,影響（を与える）,Japanese movies influenced many foreign movies.,
774,information,名,情報,We need to gather information about China.,
775,injure,動,傷つける、けがをさせる,Many people were injured in the accident.,
776,ink,名,インク,Please use red ink.,
777,inside,副,中に、中で,We put a ball inside the box.,
778,instead,副,代わりに　　※instead of　～　～の代わりに,He went to the party instead of me.,
779,instrument,名,楽器,What instrument do you want to play?,
780,interested,形,※be interested in ～　～に興味を持っている,I'm interested in Korean dramas.,
781,interesting,形,おもしろい、興味深い,This book is interesting.,
782,international,形,国際的な,Kobe is called an international city.,
783,Internet,名,インターネット　　※on the Internet  インターネットで,You can use the Internet to find the answer.,
784,interview,動・名,インタビュー（する）、面接（する）,I'm going to have an interview test tomorrow.,
785,into,前,～の中へ,Come into the house.,
786,introduce,動,～を紹介する　※introduce myself to ～　～に自己紹介する,I will introduce you to my family.,
787,invent,動,発明する,I want to invent something new.,
788,invite,動,招待する,I invited my friend to my house.,
789,is,動,"～である、（～に）いる、ある  　
※is～ing ～している、しようとしている　　　【活用】 is - was - been",My phone number is 1234-5678.,
790,island,名,島,Awaji Island is a part of Hyogo.,
791,it,代,それ（は、が）、それ（を、に）,A: Where is my pen?  B: It is on the desk.,
792,Italian,名・形,イタリアの、イタリア人（の）、イタリア語（の）,I went to a good Italian restaurant yesterday.,
793,Italy,名,イタリア,"He went to Italy, the U.K., Germany and Spain.",
794,its,代,その、それの,I learned more about the language and its speakers.,
795,jacket,名,上着、ジャケット,I got a new jacket for my birthday.,
796,jam,名,ジャム,Some people eat bread with jam.,
797,January,名,１月,"On January 1, people eat osechi in Japan.",
798,Japan,名,日本,I come from Japan.,
799,Japanese,名・形,日本の、日本人（の）、日本語（の）,I like Japanese music.,
